
year,month,H(h)_m,H(i_opt)_m,H(i)_m,Hb(n)_m,Kd,T2m
2005,Jan,119.84,180.85,193.17,183.94,0.27,13.9
2005,Feb,129.08,170.9,176.03,167.33,0.27,16.2
2005,Mar,177.04,202.98,199.13,208.03,0.26,23.1
2005,Apr,214.36,216.45,201.32,242.73,0.22,28.7
2005,May,231.14,208.67,184.48,247.26,0.22,32.2
2005,Jun,196.8,170.87,148.69,189.24,0.29,34.2
2005,Jul,149.06,134.66,120.24,117.22,0.41,28.8
2005,Aug,175.68,170.42,156.62,162.63,0.33,30.2
2005,Sep,139.82,150.98,145.31,137.84,0.34,27.8
2005,Oct,166.18,212.96,216.64,224.42,0.21,24.6
2005,Nov,132.6,196.93,209.08,211.97,0.21,19.9
2005,Dec,125.06,202.24,219.28,221.68,0.2,14.4
2006,Jan,131.17,200.47,214.54,210.72,0.23,14.7
2006,Feb,141.57,190.98,197.48,196.84,0.23,21.6
2006,Mar,176.27,202.97,199.43,208.31,0.26,22.2
2006,Apr,212.69,214.24,199.07,238.58,0.22,30.0
2006,May,223.81,202.85,179.59,238.11,0.22,33.5
2006,Jun,189.59,164.92,143.69,179.75,0.3,32.0
2006,Jul,145.62,130.51,116.14,115.72,0.42,29.6
2006,Aug,167.22,161.46,148.38,146.3,0.36,29.3
2006,Sep,162.96,178.95,172.89,177.06,0.28,29.4
2006,Oct,156.21,198.42,201.49,202.77,0.24,26.8
2006,Nov,129.52,191.5,203.17,203.01,0.22,21.2
2006,Dec,116.88,186.36,201.58,198.03,0.23,15.7
2007,Jan,131.18,202.33,216.95,217.4,0.21,14.6
2007,Feb,115.33,150.94,155.08,144.05,0.3,16.9
2007,Mar,183.94,212.99,209.44,227.45,0.23,21.5
2007,Apr,214.19,215.83,200.41,245.66,0.2,31.0
2007,May,221.71,200.59,177.59,233.86,0.23,33.0
2007,Jun,185.65,161.92,141.59,169.51,0.33,33.1
2007,Jul,166.19,149.34,132.85,136.41,0.39,30.5
2007,Aug,142.28,137.57,126.98,108.8,0.43,29.0
2007,Sep,150.73,163.69,157.84,151.81,0.33,28.4
2007,Oct,168.89,216.5,220.24,228.69,0.21,25.7
2007,Nov,132.13,196.36,208.51,211.95,0.21,21.3
2007,Dec,118.49,188.69,204.06,200.52,0.24,14.9
2008,Jan,126.12,190.65,203.61,195.46,0.25,13.8
2008,Feb,149.75,202.19,208.92,215.44,0.2,16.6
2008,Mar,191.03,222.14,218.67,239.34,0.22,24.8
2008,Apr,211.55,212.11,196.67,237.55,0.22,29.3
2008,May,216.92,196.97,174.84,223.05,0.25,31.1
2008,Jun,158.03,139.62,123.25,129.3,0.39,29.4
2008,Jul,158.31,143.04,127.73,123.36,0.41,29.4
2008,Aug,127.59,124.3,115.27,93.43,0.46,27.9
2008,Sep,160.18,174.17,167.8,166.65,0.3,27.7
2008,Oct,159.88,204.44,207.94,211.35,0.22,26.2
2008,Nov,132.14,195.88,207.88,209.92,0.21,20.7
2008,Dec,117.83,186.98,202.06,197.28,0.24,17.1
2009,Jan,122.55,183.78,196.01,185.38,0.27,15.6
2009,Feb,140.51,189.6,196.01,197.91,0.22,18.5
2009,Mar,189.06,220.77,217.66,237.49,0.22,23.5
2009,Apr,215.59,216.3,200.56,245.26,0.21,29.3
2009,May,225.79,204.57,181.16,238.07,0.23,32.4
2009,Jun,212.96,183.9,159.27,214.87,0.26,34.8
2009,Jul,169.75,152.4,135.42,141.89,0.38,31.3
2009,Aug,156.98,151.3,138.91,136.73,0.36,31.0
2009,Sep,156.02,171.2,165.37,168.77,0.28,28.5
2009,Oct,157.59,201.37,204.87,205.86,0.24,25.6
2009,Nov,121.67,177.27,187.53,181.31,0.26,20.1
2009,Dec,118.68,188.95,204.34,199.6,0.24,16.3
2010,Jan,121.11,181.59,193.64,182.87,0.27,14.2
2010,Feb,136.14,182.77,188.75,188.5,0.23,18.6
2010,Mar,193.0,225.07,221.64,248.14,0.2,26.0
2010,Apr,211.39,213.29,198.36,234.62,0.22,32.5
2010,May,232.41,209.49,184.92,253.14,0.21,34.4
2010,Jun,202.9,175.78,152.74,197.22,0.29,34.4
2010,Jul,147.79,133.25,119.15,108.62,0.45,29.6
2010,Aug,127.81,123.14,113.86,86.43,0.5,28.3
2010,Sep,111.18,119.87,115.82,94.1,0.43,26.1
2010,Oct,161.26,203.66,207.15,215.32,0.22,25.8
2010,Nov,120.45,175.45,185.61,178.02,0.26,19.4
2010,Dec,124.41,193.66,209.39,207.45,0.23,14.4
2011,Jan,130.46,199.98,214.17,211.41,0.23,12.4
2011,Feb,131.82,175.85,181.45,174.9,0.26,16.9
2011,Mar,189.56,220.02,216.45,237.92,0.22,22.9
2011,Apr,207.76,209.08,194.34,228.81,0.23,27.8
2011,May,225.09,203.62,180.19,239.76,0.23,32.8
2011,Jun,185.99,162.09,141.44,174.52,0.31,32.1
2011,Jul,146.34,132.12,118.24,105.76,0.46,29.0
2011,Aug,132.34,127.98,118.34,96.61,0.46,28.1
2011,Sep,146.78,160.09,154.75,142.73,0.35,27.3
2011,Oct,164.41,210.35,213.93,219.27,0.22,25.2
2011,Nov,130.8,193.87,205.77,207.14,0.21,21.7
2011,Dec,121.79,196.51,213.0,214.33,0.2,15.5
2012,Jan,120.26,180.84,192.93,185.2,0.26,12.5
2012,Feb,145.53,194.12,200.15,196.29,0.24,16.2
2012,Mar,196.9,230.13,226.79,255.41,0.2,22.4
2012,Apr,202.64,204.1,189.91,218.53,0.24,27.7
2012,May,236.57,213.19,188.18,256.91,0.21,33.4
